State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
AL,Central Alabama Gen Station,55440,CTGDB2,2020,Electric Utility,32.6503,-86.7386,"Alabama Power Company, Tenaska Alabama II Partners, LP","Alabama Power Company, Tenaska Alabama II Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,12/8/2002,Operating,2860
AL,Central Alabama Gen Station,55440,CTGDB3,2020,Electric Utility,32.6503,-86.7386,"Alabama Power Company, Tenaska Alabama II Partners, LP","Alabama Power Company, Tenaska Alabama II Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,3/6/2003,Operating,2860
AL,Charles R Lowman,56,1,2020,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Dry bottom wall-fired boiler,Coal,,3/1/1969,Operating (Retired 10/31/2020),1119
AL,Charles R Lowman,56,2,2020,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Dry bottom wall-fired boiler,Coal,,3/1/1979,Operating (Retired 10/31/2020),3103
AL,Charles R Lowman,56,3,2020,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Dry bottom wall-fired boiler,Coal,,5/1/1980,Operating (Retired 10/31/2020),3010
AL,Colbert,47,CCT1,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT2,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT3,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT4,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT5,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT6,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT7,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Colbert,47,CCT8,2020,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/1/1972,Operating,760
AL,Decatur Energy Center,55292,CTG-1,2020,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Combined cycle,Pipeline Natural Gas,,3/28/2002,Operating,2236
AL,Decatur Energy Center,55292,CTG-2,2020,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Combined cycle,Pipeline Natural Gas,,3/28/2002,Operating,2236
AL,Decatur Energy Center,55292,CTG-3,2020,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Combined cycle,Pipeline Natural Gas,,3/6/2003,Operating,2236
AL,E B Harris Generating Plant,7897,1A,2020,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,2/5/2003,Operating,2600
AL,E B Harris Generating Plant,7897,1B,2020,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,1/20/2003,Operating,2600
AL,E B Harris Generating Plant,7897,2A,2020,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,3/22/2003,Operating,2600
AL,E B Harris Generating Plant,7897,2B,2020,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,3/23/2003,Operating,2600
AL,E C Gaston,26,1,2020,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,Coal,5/1/1960,Operating,5462
AL,E C Gaston,26,2,2020,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,Coal,7/1/1960,Operating,5324
AL,E C Gaston,26,3,2020,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,Coal,6/1/1960,Operating,5077.2
AL,E C Gaston,26,4,2020,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,Coal,6/1/1962,Operating,3635
AL,E C Gaston,26,5,2020,Electric Utility,33.2442,-86.4567,Alabama Power Company,Alabama Power Company,Tangentially-fired,Coal,Pipeline Natural Gas,8/2/1974,Operating,16078
AL,Gadsden,7,1,2020,Electric Utility,34.0128,-85.9708,Alabama Power Company,Alabama Power Company,Tangentially-fired,Pipeline Natural Gas,,4/8/1949,Operating,1170
AL,Gadsden,7,2,2020,Electric Utility,34.0128,-85.9708,Alabama Power Company,Alabama Power Company,Tangentially-fired,Pipeline Natural Gas,,7/21/1949,Operating,1170
AL,Greene County,10,1,2020,Electric Utility,32.6017,-87.7811,"Alabama Power Company, Mississippi Power Company",Alabama Power Company,Cell burner boiler,Pipeline Natural Gas,,6/11/1965,Operating,3386
AL,Greene County,10,2,2020,Electric Utility,32.6017,-87.7811,"Alabama Power Company, Mississippi Power Company",Alabama Power Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,,7/30/1966,Operating,3334
AL,Greene County,10,CT10,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1996,Operating,1294
AL,Greene County,10,CT2,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1996,Operating,1375
AL,Greene County,10,CT3,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1995,Operating,1307.2
AL,Greene County,10,CT4,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1995,Operating,1294
AL,Greene County,10,CT5,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1995,Operating,1294
AL,Greene County,10,CT6,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1995,Operating,1308.9
AL,Greene County,10,CT7,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1995,Operating,1294
AL,Greene County,10,CT8,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1996,Operating,1655
AL,Greene County,10,CT9,2020,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/29/1996,Operating,1334.7
AL,Hillabee Energy Center,55411,CT1,2020,Electric Utility,33,-85.9031,"CER Generation, LLC","CER Generation, LLC",Combined cycle,Pipeline Natural Gas,,10/6/2009,Operating,3000
AL,Hillabee Energy Center,55411,CT2,2020,Electric Utility,33,-85.9031,"CER Generation, LLC","CER Generation, LLC",Combined cycle,Pipeline Natural Gas,,11/5/2009,Operating,3000
AL,Hog Bayou Energy Center,55241,COG01,2020,Electric Utility,30.7478,-88.0575,"Mobile Energy, LLC","Mobile Energy, LLC",Combined cycle,Pipeline Natural Gas,Diesel Oil,3/7/2001,Operating,2493
AL,"Indorama Ventures Xylenes and PTA, LLC",880075,AB8301,2020,Industrial Boiler,34.64,-87.0583,"Indorama Ventures Xylenes and PTA, LLC","Indorama Ventures Xylenes and PTA, LLC",Other boiler,Natural Gas,Other Gas,,Operating,400
AL,International Paper-Prattville Mill,52140,Z006,2020,Pulp & Paper Mill,32.4167,-86.4667,International Paper Company,International Paper Company,Other boiler,Pipeline Natural Gas,"Other Gas, Wood",6/30/1967,Operating,783
AL,International Paper-Prattville Mill,52140,Z008,2020,Pulp & Paper Mill,32.4167,-86.4667,International Paper Company,International Paper Company,Other boiler,Coal,"Other Gas, Other Oil, Wood",6/30/1980,Operating,783
AL,International Paper-Riverdale Mill,54096,X026,2020,Pulp & Paper Mill,32.425,-86.8694,International Paper Company,International Paper Company,Combined cycle,Pipeline Natural Gas,Diesel Oil,12/1/1994,Operating,650
AL,International Paper-Riverdale Mill,54096,Z007,2020,Pulp & Paper Mill,32.425,-86.8694,International Paper Company,International Paper Company,Dry bottom wall-fired boiler,Pipeline Natural Gas,Diesel Oil,7/1/1966,Operating,300
AL,James H Miller Jr,6002,1,2020,Electric Utility,33.6319,-87.0597,"Alabama Electric Cooperative, Inc., Alabama Power Company",Alabama Power Company,Dry bottom wall-fired boiler,Coal,"Diesel Oil, Pipeline Natural Gas",10/12/1978,Operating,11845
AL,James H Miller Jr,6002,2,2020,Electric Utility,33.6319,-87.0597,"Alabama Electric Cooperative, Inc., Alabama Power Company",Alabama Power Company,Dry bottom wall-fired boiler,Coal,"Diesel Oil, Pipeline Natural Gas",5/1/1985,Operating,10117
AL,James H Miller Jr,6002,3,2020,Electric Utility,33.6319,-87.0597,Alabama Power Company,Alabama Power Company,Dry bottom wall-fired boiler,Coal,"Diesel Oil, Pipeline Natural Gas",5/1/1989,Operating,10975
AL,James H Miller Jr,6002,4,2020,Electric Utility,33.6319,-87.0597,Alabama Power Company,Alabama Power Company,Dry bottom wall-fired boiler,Coal,"Diesel Oil, Pipeline Natural Gas",3/5/1991,Operating,11520
AL,McIntosh (7063),7063,**1,2020,Electric Utility,31.2546,-88.0299,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Other turbine,Pipeline Natural Gas,,6/1/1991,Operating,850
AL,McIntosh (7063),7063,**2,2020,Electric Utility,31.2546,-88.0299,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/18/1998,Operating,1423
AL,McIntosh (7063),7063,**3,2020,Electric Utility,31.2546,-88.0299,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combustion turbine,Pipeline Natural Gas,Diesel Oil,6/28/1998,Operating,1423
AL,McIntosh (7063),7063,**4,2020,Electric Utility,31.2546,-88.0299,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combustion turbine,Pipeline Natural Gas,,8/26/2010,Operating,2200
AL,McIntosh (7063),7063,**5,2020,Electric Utility,31.2546,-88.0299,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combustion turbine,Pipeline Natural Gas,,9/8/2010,Operating,2200
AL,McWilliams,533,**4,2020,Electric Utility,31.4001,-86.4767,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combined cycle,Pipeline Natural Gas,Diesel Oil,8/1/1996,Operating,1380
AL,McWilliams,533,**V1,2020,Electric Utility,31.4001,-86.4767,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combined cycle,Pipeline Natural Gas,,7/26/2001,Operating,2100
AL,McWilliams,533,**V2,2020,Electric Utility,31.4001,-86.4767,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",Combined cycle,Pipeline Natural Gas,,8/10/2001,Operating,2100
AL,Morgan Energy Center,55293,CT-1,2020,Electric Utility,34.6397,-87.0639,"Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",Combined cycle,Pipeline Natural Gas,,4/12/2003,Operating,2236
AL,Morgan Energy Center,55293,CT-2,2020,Electric Utility,34.6397,-87.0639,"Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",Combined cycle,Pipeline Natural Gas,,4/7/2003,Operating,2236
AL,Morgan Energy Center,55293,CT-3,2020,Electric Utility,34.6397,-87.0639,"Morgan Energy Center, LLC","Calpine Operating Services Company, Inc.",Combined cycle,Pipeline Natural Gas,,4/9/2003,Operating,2236
AL,Plant H. Allen Franklin,7710,1A,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,12/7/2001,Operating,2600
AL,Plant H. Allen Franklin,7710,1B,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,12/8/2001,Operating,2600
AL,Plant H. Allen Franklin,7710,2A,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,1/9/2003,Operating,2600
AL,Plant H. Allen Franklin,7710,2B,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,1/15/2003,Operating,2600
AL,Plant H. Allen Franklin,7710,3A,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,1/11/2008,Operating,2600
AL,Plant H. Allen Franklin,7710,3B,2020,Electric Utility,32.6094,-85.0961,Southern Company,Georgia Power Company,Combined cycle,Pipeline Natural Gas,,1/18/2008,Operating,2600
AL,SABIC Innovative Plastics - Burkville,7698,CC1,2020,Cogeneration,32.3102,-86.5242,Alabama Power Company,SABIC Innovative Plastics US LLC,Combined cycle,Pipeline Natural Gas,Process Gas,5/16/1999,Operating,1365
AL,Tenaska Lindsay Hill Generating Station,55271,CT1,2020,Electric Utility,32.6514,-86.7386,"Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,1/15/2002,Operating,2543.2
AL,Tenaska Lindsay Hill Generating Station,55271,CT2,2020,Electric Utility,32.6514,-86.7386,"Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,1/23/2002,Operating,2405
AL,Tenaska Lindsay Hill Generating Station,55271,CT3,2020,Electric Utility,32.6514,-86.7386,"Tenaska Alabama Partners, LP","Tenaska Alabama Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,1/28/2002,Operating,2405
AL,Theodore Cogeneration,7721,CC1,2020,Cogeneration,30.5248,-88.1289,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,10/13/2000,Operating,2500
AL,Walton Discover Power Facility,55138,1A,2020,Electric Utility,32.5412,-85.0384,Walton Discover LLC,Walton Discover LLC,Combustion turbine,Pipeline Natural Gas,,6/22/1999,Operating,415
AL,Walton Discover Power Facility,55138,1B,2020,Electric Utility,32.5412,-85.0384,Walton Discover LLC,Walton Discover LLC,Combustion turbine,Pipeline Natural Gas,,6/22/1999,Operating,415
AL,Walton Discover Power Facility,55138,2A,2020,Electric Utility,32.5412,-85.0384,Walton Discover LLC,Walton Discover LLC,Combustion turbine,Pipeline Natural Gas,,6/19/1999,Operating,415
AL,Walton Discover Power Facility,55138,2B,2020,Electric Utility,32.5412,-85.0384,Walton Discover LLC,Walton Discover LLC,Combustion turbine,Pipeline Natural Gas,,6/19/1999,Operating,415
AL,Washington County Cogen (Olin),7697,CC1,2020,Cogeneration,31.2622,-88.0052,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,Process Gas,2/11/1999,Operating,1400
AL,"WestRock CP, LLC",880101,PB3,2020,Pulp & Paper Mill,34.838,-85.7865,"WestRock CP, LLC","WestRock CP, LLC",Dry bottom wall-fired boiler,Pipeline Natural Gas,Diesel Oil,11/11/2013,Operating,270
AL,WestRock Coated Board,54802,X022,2020,Cogeneration,32.175,-85.0311,"WestRock Coated Board, LLC","WestRock Coated Board, LLC",Combustion turbine,Pipeline Natural Gas,,1/1/1998,Operating,568
AL,WestRock Coated Board,54802,Z008,2020,Pulp & Paper Mill,32.175,-85.0311,"WestRock Coated Board, LLC","WestRock Coated Board, LLC",Dry bottom wall-fired boiler,Pipeline Natural Gas,Diesel Oil,1/1/1965,Operating,428
AR,Carl Bailey,202,1,2020,Electric Utility,35.2597,-91.3631,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Dry bottom wall-fired boiler,Pipeline Natural Gas,Residual Oil,3/15/1966,Operating,1436
AR,City Water & Light - City of Jonesboro,56505,SN04,2020,Electric Utility,35.8481,-90.7257,Jonesboro City Water and Light,Jonesboro City Water and Light,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/16/2000,Operating,469
AR,City Water & Light - City of Jonesboro,56505,SN06,2020,Electric Utility,35.8481,-90.7257,Jonesboro City Water and Light,Jonesboro City Water and Light,Combustion turbine,Pipeline Natural Gas,Diesel Oil,5/15/2003,Operating,469
AR,City Water & Light - City of Jonesboro,56505,SN07,2020,Electric Utility,35.8481,-90.7257,Jonesboro City Water and Light,Jonesboro City Water and Light,Combustion turbine,Pipeline Natural Gas,,5/18/2007,Operating,468
AR,Dell Power Plant,55340,1,2020,Electric Utility,35.8619,-90.0253,"Associated Electric Cooperative, Inc.","Associated Electric Cooperative, Inc.",Combined cycle,Pipeline Natural Gas,Diesel Oil,5/8/2007,Operating,3672.9
AR,Dell Power Plant,55340,2,2020,Electric Utility,35.8619,-90.0253,"Associated Electric Cooperative, Inc.","Associated Electric Cooperative, Inc.",Combined cycle,Pipeline Natural Gas,Diesel Oil,4/23/2007,Operating,4348.1
AR,Flint Creek Power Plant,6138,1,2020,Electric Utility,36.2561,-94.5241,"Arkansas Electric Cooperative Corporation, Southwestern Electric Power Company",Southwestern Electric Power Company,Dry bottom wall-fired boiler,Coal,,1/30/1978,Operating,6324
AR,Fulton,7825,CT1,2020,Electric Utility,33.6094,-93.7924,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combustion turbine,Pipeline Natural Gas,,4/21/2001,Operating,1692
AR,Harry D. Mattison Power Plant,56328,1,2020,Electric Utility,36.1855,-94.2841,Southwestern Electric Power Company,Southwestern Electric Power Company,Combustion turbine,Pipeline Natural Gas,,12/13/2007,Operating,1078
AR,Harry D. Mattison Power Plant,56328,2,2020,Electric Utility,36.1855,-94.2841,Southwestern Electric Power Company,Southwestern Electric Power Company,Combustion turbine,Pipeline Natural Gas,,12/13/2007,Operating,1078
AR,Harry D. Mattison Power Plant,56328,3,2020,Electric Utility,36.1855,-94.2841,Southwestern Electric Power Company,Southwestern Electric Power Company,Combustion turbine,Pipeline Natural Gas,,7/2/2007,Operating,1078
AR,Harry D. Mattison Power Plant,56328,4,2020,Electric Utility,36.1855,-94.2841,Southwestern Electric Power Company,Southwestern Electric Power Company,Combustion turbine,Pipeline Natural Gas,,7/1/2007,Operating,1078
AR,Hot Spring Energy Facility,55418,CT-1,2020,Electric Utility,34.2963,-92.8683,Entergy Corporation,Entergy Corporation,Combined cycle,Pipeline Natural Gas,,4/17/2002,Operating,2650
AR,Hot Spring Energy Facility,55418,CT-2,2020,Electric Utility,34.2963,-92.8683,Entergy Corporation,Entergy Corporation,Combined cycle,Pipeline Natural Gas,,3/29/2002,Operating,2650
AR,Independence,6641,1,2020,Electric Utility,35.6733,-91.4083,"Arkansas Electric Cooperative Corporation, City of Jonesboro, City of Osceola, Conway Corporation, Entergy Corporation, West Memphis Utilities",Entergy Corporation,Tangentially-fired,Coal,Residual Oil,1/18/1983,Operating,9525
AR,Independence,6641,2,2020,Electric Utility,35.6733,-91.4083,"Arkansas Electric Cooperative Corporation, City of Jonesboro, City of Osceola, Conway Corporation, Entergy Corporation, West Memphis Utilities",Entergy Corporation,Tangentially-fired,Coal,Residual Oil,12/6/1984,Operating,10480
AR,John W. Turk Jr. Power Plant,56564,SN-01,2020,Electric Utility,33.6497,-93.8119,"Arkansas Electric Cooperative Corporation, East Texas Electric Cooperative, Inc., Oklahoma Municipal Power Authority, Southwestern Electric Power Company",Southwestern Electric Power Company,Dry bottom wall-fired boiler,Coal,,11/8/2012,Operating,6000
AR,Lake Catherine,170,4,2020,Electric Utility,34.4341,-92.9046,Entergy Corporation,Entergy Corporation,Dry bottom wall-fired boiler,Pipeline Natural Gas,,4/7/1970,Operating,7606
AR,Magnet Cove Generating Station,55714,SN-01,2020,Electric Utility,34.4304,-92.8333,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,5/5/2005,Operating,2800
AR,Magnet Cove Generating Station,55714,SN-02,2020,Electric Utility,34.4304,-92.8333,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,10/17/2005,Operating,2800
AR,McClellan,203,1,2020,Electric Utility,33.5648,-92.7917,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Dry bottom wall-fired boiler,Pipeline Natural Gas,Residual Oil,4/1/1970,Operating,1436
AR,Oswald Generating Station,55221,G1,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,4/22/2002,Operating,567
AR,Oswald Generating Station,55221,G2,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,4/15/2002,Operating,567
AR,Oswald Generating Station,55221,G3,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,4/8/2002,Operating,567
AR,Oswald Generating Station,55221,G4,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,4/3/2002,Operating,567
AR,Oswald Generating Station,55221,G5,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,3/28/2002,Operating,567
AR,Oswald Generating Station,55221,G6,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,3/23/2002,Operating,567
AR,Oswald Generating Station,55221,G7,2020,Electric Utility,34.5923,-92.2166,Arkansas Electric Cooperative Corporation,Arkansas Electric Cooperative Corporation,Combined cycle,Pipeline Natural Gas,,4/18/2002,Operating,1260
AR,Pine Bluff Energy Center,55075,CT-1,2020,Cogeneration,34.2181,-91.9025,"Pine Bluff Energy, LLC","Calpine Operating Services Company, Inc.",Combined cycle,Pipeline Natural Gas,,8/31/2001,Operating,2406
